Calculating time of sequentially reading 100000 512-byte blocks and checking each block for JPEG signature.
Start time, Finish time (in process timer ticks):
------------------
210352,279323

Calculating time of 1000 random block accesses. For each block a LIBLINEAR test for JPEG data is included into the timing.
Distance jumped (+/-), start time, finish time (in process timer ticks):
47161464,109971457,110434230
-5086302,110434252,110444623
-13177745,110444663,110463591
29670669,110463614,110767206
-44118522,110767228,110815346
-8817740,110815369,110830186
19007247,110830226,111013387
-15739938,111013397,111028354
31427031,111028363,111331303
-22781931,111331324,111359235
38566540,111359257,111744994
-5469682,111745018,111755878
11451639,111755901,111878391
-59893568,111878407,111941219
30756261,111941226,112235904
6342350,112235927,112305826
17786376,112305849,112504865
9486507,112504886,112607604
-60558679,112607646,112678210
4984654,112678232,112730849
40825307,112730889,113138631
-4109411,113138673,113147316
-4532627,113147333,113156454
-14973740,113156477,113177110
-20053684,113177127,113202570
42411953,113202611,113655680
-39261816,113655704,113699162
21845591,113699184,113915206
30552452,113915244,114251784
-9415565,114251807,114267264
4096583,114267281,114329491
-3144078,114329510,114336527
-39058282,114336544,114380032
-449694,114380055,114381611
-8933269,114381634,114396517
7349406,114396541,114471103
-85591,114471125,114471661
-12474095,114471684,114489658
25806063,114489664,114738337
9419291,114738360,114835581
-15597256,114835603,114856863
-19630392,114856886,114881613
14037121,114881619,115019237
18122471,115019260,115193951
-22131102,115193960,115221309
36116650,115221330,115576760
-46297530,115576778,115626559
12431493,115626566,115743858
-11487650,115743880,115761436
46179146,115761445,116203741
-6850186,116203763,116216631
-18236232,116216663,116240259
21249274,116240304,116459438
-42059902,116459461,116505459
12169500,116505466,116618541
-12820793,116618563,116636756
39204006,116636762,117007492
-24505266,117007515,117036852
30347567,117036875,117344363
1888639,117344384,117369954
-31137945,117369977,117405874
34537614,117405883,117755109
-9198532,117755131,117770486
17957341,117770510,117958219
-15556879,117958242,117979534
8408683,117979557,118071162
-7785713,118071179,118084957
-1814201,118084999,118089606
9441184,118089629,118191400
7281298,118191449,118274324
-1930539,118274346,118279167
-36968034,118279191,118320238
33033607,118320261,118651717
-36832399,118651741,118693017
32445301,118693040,119036667
-34480257,119036706,119075438
-11879373,119075459,119093271
48779903,119093279,119588197
-16046400,119588211,119609697
24748808,119609719,119865973
-58188585,119865991,119927000
23180142,119927009,120163195
17722232,120163216,120342949
-33350410,120342971,120380766
15282781,120380789,120529714
-1314397,120529756,120533286
-4095856,120533308,120542415
293921,120542438,120549275
18893973,120549298,120743509
6632089,120743531,120817516
-17998763,120817557,120841326
-17192416,120841364,120864240
46403184,120864263,121322948
-46873768,121322972,121373588
7411182,121373610,121448750
-17147001,121448772,121472177
24716986,121472184,121716060
22470784,121716083,121969480
-10801220,121969501,121985875
-27463333,121985881,122012275
24592541,122012298,122249250
-14138755,122249262,122266616
32591738,122266624,122604910
-12366385,122604951,122623058
-4218712,122623075,122631202
16036808,122631219,122806779
-23161843,122806802,122835274
27798610,122835298,123133072
-48204759,123133111,123185280
-5165406,123185299,123195375
10389533,123195381,123292483
40145155,123292500,123683950
-17829900,123683973,123707103
21689295,123707113,123932550
-58008222,123932559,123987524
25642676,123987531,124237937
35249774,124237959,124594781
4526002,124594804,124646982
-12726986,124647021,124665333
9103773,124665356,124764117
-40140819,124764156,124808251
34981344,124808269,125171793
-48671089,125171816,125224001
1761799,125224040,125246850
41407449,125246873,125653133
-38152097,125653169,125695767
34616363,125695789,126044252
-11409357,126044294,126061381
-20557298,126061404,126087088
-14171345,126087130,126106612
7797260,126106618,126178944
23046580,126178954,126394243
24690592,126394266,126664135
-10832944,126664177,126680774
19158678,126680814,126880521
-60237525,126880544,126944443
38391069,126944466,127344556
-30512535,127344577,127380341
50877934,127380359,127884603
-61354544,127884624,127949003
60698401,127949009,128574674
-14898892,128574696,128595344
-31505905,128595353,128625445
-561140,128625469,128627288
-984497,128627306,128629866
7359117,128629887,128704858
22619910,128704881,128933044
-36578312,128933067,128974064
-982206,128974105,128976956
29118273,128976996,129271687
-21365290,129271710,129298408
9962960,129298431,129397410
-6640375,129397432,129409869
14212732,129409891,129560748
19333285,129560765,129762404
3874793,129762426,129807903
-831,129807926,129808182
-35121131,129808200,129846280
30708850,129846303,130154397
-45095254,130154421,130203434
27601239,130203475,130475578
25840945,130475600,130750289
-47133596,130750311,130801484
39194280,130801507,131200997
-49761379,131201020,131254165
34602434,131254172,131592083
-16952302,131592106,131614587
25631987,131614626,131879679
7822203,131879702,131971940
-50005463,131971961,132025265
54411890,132025273,132567076
-7967398,132567099,132580904
-19810918,132580943,132606008
21089138,132606030,132823894
-38528171,132823917,132876466
